"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","stats.judilibre.io/185.199.108.153","443","INFO","HTTP","",""
"pre_128cipher","stats.judilibre.io/185.199.108.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","stats.judilibre.io/185.199.108.153","443","OK","not offered","",""
"SSLv3","stats.judilibre.io/185.199.108.153","443","OK","not offered","",""
"TLS1","stats.judilibre.io/185.199.108.153","443","INFO","not offered","",""
"TLS1_1","stats.judilibre.io/185.199.108.153","443","INFO","not offered","",""
"TLS1_2","stats.judilibre.io/185.199.108.153","443","OK","offered","",""
"TLS1_3","stats.judilibre.io/185.199.108.153","443","OK","offered with final","",""
"ALPN_HTTP2","stats.judilibre.io/185.199.108.153","443","OK","h2","",""
"ALPN","stats.judilibre.io/185.199.108.153","443","INFO","http/1.1","",""
"cipherlist_NULL","stats.judilibre.io/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","stats.judilibre.io/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","stats.judilibre.io/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","stats.judilibre.io/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","stats.judilibre.io/185.199.108.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","stats.judilibre.io/185.199.108.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","stats.judilibre.io/185.199.108.153","443","OK","offered","",""
"cipherlist_STRONG_FS","stats.judilibre.io/185.199.108.153","443","OK","offered","",""
"cipher_order-tls1_2","stats.judilibre.io/185.199.108.153","443","OK","server","",""
"cipherorder_TLSv1_2","stats.judilibre.io/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","stats.judilibre.io/185.199.108.153","443","OK","server","",""
"FS","stats.judilibre.io/185.199.108.153","443","OK","offered","",""
"FS_ciphers","stats.judilibre.io/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","stats.judilibre.io/185.199.108.153","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","stats.judilibre.io/185.199.108.153","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","stats.judilibre.io/185.199.108.153","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","stats.judilibre.io/185.199.108.153","443","INFO","yes","",""
"sessionresumption_ticket","stats.judilibre.io/185.199.108.153","443","INFO","supported","",""
"sessionresumption_ID","stats.judilibre.io/185.199.108.153","443","INFO","supported","",""
"TLS_timestamp","stats.judilibre.io/185.199.108.153","443","INFO","random","",""
"certificate_compression","stats.judilibre.io/185.199.108.153","443","INFO","none","",""
"clientAuth","stats.judilibre.io/185.199.108.153","443","INFO","none","",""
"cert_numbers","stats.judilibre.io/185.199.108.153","443","INFO","1","",""
"cert_signatureAlgorithm","stats.judilibre.io/185.199.108.153","443","OK","SHA256 with RSA","",""
"cert_keySize","stats.judilibre.io/185.199.108.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","stats.judilibre.io/185.199.108.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","stats.judilibre.io/185.199.108.153","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","stats.judilibre.io/185.199.108.153","443","INFO","03C4B4C82C1BD6345C03FBF5EC61320F1160","",""
"cert_serialNumberLen","stats.judilibre.io/185.199.108.153","443","INFO","18","",""
